Field Name,Field Name lookup,Variable Name,Description
High Resolution Timestamp (high_res timestamp),High Resolution Timestamp,high_res_timestamp,"Time in milliseconds the log was received at the management plane.

The format for this new field is YYYY-MM-DDThh:ss:sssTZD:

YYYY—Four digit year

MM—Two-digit month

DD—Two-digit day of the month (01 through 31)

T—Indicator for the beginning of the timestamp

hh—Two-digit hour using 24-hour time (00 through 23)

mm—Two-digit minute (00 through 59)

ss—Two-digit second (00 through 60)

sss—One or more digits for millisecond

TZD—Time zone designator (+hh:mm or -hh:mm)

FM Dita Overlay for Notes Component

The High Resolution Timestamp is supported for logs received from managed firewalls running PAN-OS 10.1 and later releases. Logs received from managed firewalls running PAN-OS 9.1 and earlier releases display a 1969-12-31T16:00:00:000-8:00 timestamp regardless of when the log was received."
Reason (reason),Reason,reason,Reason for URL Filtering action.
Justification (justification),Justification,justification,Justification for URL Filtering action.
A Slice Service Type (nssai_sst),A Slice Service Type,nssai_sst,The A Slice Service Type of the Network Slice ID.
Application Subcategory (subcategory_of_app),Application Subcategory,subcategory_of_app,The application subcategory specified in the application configuration properties.
Application Category (category_of_app),Application Category,category_of_app,"The application category specified in the application configuration properties. Values are:

business-systems

collaboration

general-internet

media

networking

saas"
Application Technology (technology_of_app),Application Technology,technology_of_app,"The application technology specified in the application configuration properties. Values are:

browser-based

client-server

network-protocol

peer-to-peer"
Application Risk (risk_of_app),Application Risk,risk_of_app,Risk level associated with the application (1=lowest to 5=highest).
Application Characteristic (characteristic_of_app),Application Characteristic,characteristic_of_app,Comma-separated list of applicable characteristic of the application
Application Container (container_of_app),Application Container,container_of_app,The parent application for an application.
Tunneled Application (tunneled_app),Tunneled Application,tunneled_app,Name of the tunneled application.
Application SaaS (is_saas_of_app),Application SaaS,is_saas_of_app,Displays yes if a SaaS application or no if not a SaaS application.
Application Sanctioned State (sanctioned_state_of_app),Application Sanctioned State,sanctioned_state_of_app,Displays yes if application is sanctioned or no if application is not sanctioned.
Cloud Report ID (cloud_reportid),Cloud Report ID,cloud_reportid,"(PAN-OS 10.2.0) Unique 32 character ID for a file scanned by the DLP cloud service sent by a firewall.

(PAN-OS 10.2.1 and later releases) Unique 67 character ID for a file scanned by the DLP cloud service sent by a firewall.

The same Cloud Report ID is displayed for a file the DLP cloud service has already scanned and generated a Cloud Report ID for."
Cluster Name (cluster_name) (11.1 and later releases),Cluster Name,cluster_name,Name of the CN-Series firewall cluster.
Flow Type (flow_type),Flow Type,flow_type,"(11.1 and later releases) Identifies the type of proxy used for traffic. If a proxy is used, Explicit Proxy or Transparent Proxy is displayed. If no proxy is used, NonProxyTraffic is displayed."
